Bw,osr,nlev,Hinf,Cint,gm,Ro,Co,SNR
782897704.7181019,128,4,1.5,8.891521591339842e-13,0.0009519217201458608,453113.88893358916,6.430002113234399e-14,85.18031862076243
752752729.0924224,128,2,1.5,7.984127708683521e-13,0.00024534422610358674,540991.7845387149,2.928762322775833e-14,84.14025088566535
222270194.50616008,32,5,1.5,4.4584075366047235e-13,0.0009823489723260479,691331.1170154936,2.1537085801860535e-14,57.91344268196946
136490118.43865243,128,4,1.5,6.450803522384653e-13,0.00017563869320852288,979739.271662954,4.431156946299917e-14,84.82012717862912
48201679.946289346,256,4,1.5,8.414430979316887e-13,0.00018034864859342074,673001.2271169042,1.58080278710356e-14,81.94510527212415
488771183.5084016,32,4,1.5,8.489423023428198e-13,0.0009021141352874295,241197.5366955986,6.686747911475235e-14,53.685533498029166
834381545.6419951,64,3,1.5,4.2418831839022396e-13,0.0006624642787200598,681144.2287375957,4.195682132633853e-14,74.90699905994595
53740613.500626616,128,5,1.5,8.022269412219762e-13,0.000993042839117494,410239.54952142126,4.977613753534135e-14,84.67439953741463
247165998.2148408,64,3,1.5,9.29135183805307e-13,0.00019081036657401132,840018.9515989136,8.996698482820552e-14,72.04530288984971
959364380.9661913,32,5,1.5,5.182305575368657e-13,0.00019298075709384564,722361.0823890145,2.4899391790944542e-14,55.25384281144943
194451170.4156105,128,2,1.5,5.706249388238678e-13,0.00040864927512954515,322427.92729418684,3.050702203972014e-14,83.80294012951074
686666173.5191495,64,2,1.5,8.205294229742826e-13,0.0003742146869272672,942911.628042857,1.455388396768914e-14,70.23409521153866
384763332.09534043,64,3,1.5,8.976417926553632e-13,0.0005156535578923991,237832.24517738385,6.535119996765576e-14,72.51105300357763
877824150.5726621,32,5,1.5,8.022092498033149e-13,0.0004867996782569511,814837.2030631903,3.7481532494683185e-14,54.67514704605751
475594262.1688215,64,2,1.5,8.801997831666286e-13,0.0008997000665868507,194784.76076288856,5.439341262747601e-14,70.52865262053847
66178189.89400663,64,4,1.5,8.718961052559001e-13,0.00036350883713607505,754766.3684466983,1.425604551318112e-14,75.53396725943816
627474391.7479873,32,3,1.5,7.716162311408297e-13,0.0009612535044371293,862035.6355986765,1.4969571003208802e-14,55.481819675200576
274126082.9084455,128,5,1.5,3.4082895257319846e-13,0.000592247320687722,920173.1280863822,1.3197731115699326e-14,83.17968834415545
262116884.09855384,256,4,1.5,4.801581446492239e-13,0.0009684896720831629,795925.8663803412,4.272247330826956e-14,81.27600833762428
670377570.5595421,128,5,1.5,6.128073497773983e-13,0.0009917171243663738,423051.2565704429,5.564495496033624e-14,83.73548071467297
403881423.7188274,256,4,1.5,9.566736697102635e-13,0.00029586074232157357,921156.2584769332,8.209235388599525e-14,86.37232094435241
621597592.7234616,128,5,1.5,6.312851118621049e-13,0.0005834330969241336,247916.36657274066,4.676425260616178e-14,84.84649129678789
785183257.7847095,64,4,1.5,6.067783421736414e-13,0.0008245254914202384,927810.9342691699,1.08559508432333e-14,70.9924880071649
959982999.0594536,128,3,1.5,7.463942725066881e-13,0.0004747701297809036,958596.8818178491,2.2960364673988932e-14,84.10286380633117
131396056.87457867,64,5,1.5,3.7486183485709613e-13,0.0007164039248371018,675500.9965826032,2.4249548625373373e-14,71.23259085666527
224862682.6336363,128,2,1.5,5.74022657952161e-13,0.0009209033084325042,293222.8477941207,1.497256811142367e-14,84.72979469583144
765983701.375775,64,3,1.5,8.204542825992365e-13,0.0009525740002869429,944963.2432403063,3.2149465982281915e-14,70.25827745566043
621423716.6880932,64,3,1.5,4.482114388006535e-13,0.0007296532632287282,469557.01065349375,3.7744886856313274e-14,70.42699179399126
411098643.5958726,128,3,1.5,4.670852484059308e-13,0.0007060004249616845,904584.5013541584,2.739948902619094e-14,84.55269951041016
158576067.9876083,64,4,1.5,2.645090714715743e-13,0.0008558935241521049,629923.914251674,1.711720327663008e-14,73.036117824646
537817896.8281621,256,3,1.5,6.077357406501137e-13,0.0005737896483389653,638697.7477006969,1.267724451593648e-14,81.3441749397731
285495069.4704325,64,5,1.5,9.663685554554791e-13,0.0005502857684670821,293288.33775723603,7.736234862180923e-14,72.68816263047079
948707025.1151208,256,2,1.5,8.572263971614148e-13,0.0004509230770405648,708730.8264445404,6.47780139355271e-14,87.35447408319374
48117835.557331584,128,3,1.5,6.739190135005225e-13,0.0002760562373350851,990414.3790474717,4.5950810639066066e-14,83.01318642658416
707197902.7038536,128,2,1.5,5.872218557665468e-13,0.000983339159282306,241707.42092836514,1.3176168960556594e-14,84.3053318031736
