Order,OSR,Levels,Hinf,Form,SNR
3,256,3,2.0,CIFF,19.901922025186153
3,256,3,2.0,CRFBD,85.91440819423626
3,256,3,2.0,CRFFD,19.90247568086012
4,32,2,1.0,CRFB,25.275689046378243
4,32,2,1.0,CRFF,6.600366806756336
4,32,2,1.0,CIFB,26.65517276592832
4,32,2,1.0,CIFF,6.559189235537416
4,32,2,1.0,CRFBD,9.27694974107699
4,32,2,1.0,CRFFD,11.874821678848758
4,32,2,1.5,CRFB,75.78794176485809
4,32,2,1.5,CRFF,-3.326668170550104
4,32,2,1.5,CIFB,74.19729170122031
4,32,2,1.5,CIFF,-4.162982661116226
4,32,2,1.5,CRFBD,73.58277239322545
4,32,2,1.5,CRFFD,-2.6679481237768483
4,32,2,2.0,CRFB,14.743429445149811
4,32,2,2.0,CRFF,-2.9149349923131815
4,32,2,2.0,CIFB,79.3842234325628
4,32,2,2.0,CIFF,5.82823258001582
4,32,2,2.0,CRFBD,13.601502100554566
4,32,2,2.0,CRFFD,-1.5529712776694036
4,32,3,1.0,CRFB,25.275689046378243
4,32,3,1.0,CRFF,6.600366806756336
4,32,3,1.0,CIFB,26.65517276592832
4,32,3,1.0,CIFF,6.559189235537416
4,32,3,1.0,CRFBD,9.27694974107699
4,32,3,1.0,CRFFD,11.874821678848758
4,32,3,1.5,CRFB,75.78794176485809
4,32,3,1.5,CRFF,-3.326668170550104
4,32,3,1.5,CIFB,74.19729170122031
4,32,3,1.5,CIFF,-4.162982661116226
4,32,3,1.5,CRFBD,73.58277239322545
4,32,3,1.5,CRFFD,-2.6679481237768483
4,32,3,2.0,CRFB,14.743429445149811
4,32,3,2.0,CRFF,-2.9149349923131815
4,32,3,2.0,CIFB,79.3842234325628
4,32,3,2.0,CIFF,5.82823258001582
4,32,3,2.0,CRFBD,13.601502100554566
4,32,3,2.0,CRFFD,-1.5529712776694036
4,64,2,1.0,CRFB,30.357421636671646
4,64,2,1.0,CRFF,11.875682184711076
4,64,2,1.0,CIFB,30.71492318878514
4,64,2,1.0,CIFF,11.875682251394078
4,64,2,1.0,CRFBD,29.528479604266394
4,64,2,1.0,CRFFD,11.87564773997268
4,64,2,1.5,CRFB,85.75730157296091
4,64,2,1.5,CRFF,6.088680924884687
4,64,2,1.5,CIFB,85.76068786840146
4,64,2,1.5,CIFF,6.801452025037268
4,64,2,1.5,CRFBD,85.6775229747478
4,64,2,1.5,CRFFD,6.897815810955986
4,64,2,2.0,CRFB,15.743301067784701
4,64,2,2.0,CRFF,5.611788631081426
4,64,2,2.0,CIFB,85.74041717285674
4,64,2,2.0,CIFF,6.434314373123859
4,64,2,2.0,CRFBD,7.983727768581101
4,64,2,2.0,CRFFD,6.793417291021719
4,64,3,1.0,CRFB,30.357421636671646
4,64,3,1.0,CRFF,11.875682184711076
4,64,3,1.0,CIFB,30.71492318878514
4,64,3,1.0,CIFF,11.875682251394078
4,64,3,1.0,CRFBD,29.528479604266394
4,64,3,1.0,CRFFD,11.87564773997268
4,64,3,1.5,CRFB,85.75730157296091
4,64,3,1.5,CRFF,6.088680924884687
4,64,3,1.5,CIFB,85.76068786840146
4,64,3,1.5,CIFF,6.801452025037268
4,64,3,1.5,CRFBD,85.6775229747478
4,64,3,1.5,CRFFD,6.897815810955986
4,64,3,2.0,CRFB,15.743301067784701
4,64,3,2.0,CRFF,5.611788631081426
4,64,3,2.0,CIFB,85.74041717285674
4,64,3,2.0,CIFF,6.434314373123859
4,64,3,2.0,CRFBD,7.983727768581101
4,64,3,2.0,CRFFD,6.793417291021719
4,128,2,1.0,CRFF,11.880584418761455
4,128,2,1.0,CIFF,11.880584443529534
4,128,2,1.0,CRFBD,
4,128,2,1.0,CRFFD,11.880815835278264
4,128,2,1.5,CRFB,85.74633263317727
4,128,2,1.5,CRFF,3.16303447747951
4,128,2,1.5,CIFB,85.68022081679722
4,128,2,1.5,CIFF,2.9370564347794312
4,128,2,1.5,CRFBD,85.6982300166718
4,128,2,1.5,CRFFD,-0.2963698764596336
4,128,2,2.0,CRFB,64.87855581461018
4,128,2,2.0,CRFF,-0.3178301708552905
4,128,2,2.0,CIFB,85.68950628322932
4,128,2,2.0,CIFF,4.083126412458584
4,128,2,2.0,CRFBD,85.67243634178524
4,128,2,2.0,CRFFD,4.055140893971928
4,128,3,1.0,CRFF,11.880584418761455
4,128,3,1.0,CIFF,11.880584443529534
4,128,3,1.0,CRFBD,
4,128,3,1.0,CRFFD,11.880815835278264
4,128,3,1.5,CRFB,85.74633263317727
4,128,3,1.5,CRFF,3.16303447747951
4,128,3,1.5,CIFB,85.68022081679722
4,128,3,1.5,CIFF,2.9370564347794312
4,128,3,1.5,CRFBD,85.6982300166718
4,128,3,1.5,CRFFD,-0.2963698764596336
4,128,3,2.0,CRFB,64.87855581461018
4,128,3,2.0,CRFF,-0.3178301708552905
4,128,3,2.0,CIFB,85.68950628322932
4,128,3,2.0,CIFF,4.083126412458584
4,128,3,2.0,CRFBD,85.67243634178524
4,128,3,2.0,CRFFD,4.055140893971928
4,256,2,1.0,CRFB,
4,256,2,1.0,CRFF,11.923339469567242
4,256,2,1.0,CIFF,11.923339472324763
4,256,2,1.0,CRFBD,
4,256,2,1.0,CRFFD,11.923339298018313
4,256,2,1.5,CRFB,86.02217938577844
4,256,2,1.5,CRFF,8.661059871425005
4,256,2,1.5,CIFB,85.88613803705749
4,256,2,1.5,CIFF,9.151948947602149
4,256,2,1.5,CRFBD,85.90339125657462
4,256,2,1.5,CRFFD,7.706718355546943
4,256,2,2.0,CRFB,9.203338827021422
4,256,2,2.0,CRFF,9.197141690753682
4,256,2,2.0,CIFB,85.95843985277595
4,256,2,2.0,CIFF,9.662362414365473
4,256,2,2.0,CRFBD,7.732134071845119
4,256,2,2.0,CRFFD,9.664525515035423
4,256,3,1.0,CRFB,
4,256,3,1.0,CRFF,11.923339469567242
4,256,3,1.0,CIFF,11.923339472324763
4,256,3,1.0,CRFBD,
4,256,3,1.0,CRFFD,11.923339298018313
4,256,3,1.5,CRFB,86.02217938577844
4,256,3,1.5,CRFF,8.661059871425005
4,256,3,1.5,CIFB,85.88613803705749
4,256,3,1.5,CIFF,9.151948947602149
4,256,3,1.5,CRFBD,85.90339125657462
4,256,3,1.5,CRFFD,7.706718355546943
4,256,3,2.0,CRFB,9.203338827021422
4,256,3,2.0,CRFF,9.197141690753682
4,256,3,2.0,CIFB,85.95843985277595
4,256,3,2.0,CIFF,9.662362414365473
4,256,3,2.0,CRFBD,7.732134071845119
4,256,3,2.0,CRFFD,9.664525515035423
5,32,2,1.0,CRFF,31.572863245310373
5,32,2,1.0,CIFF,30.485949586629204
5,32,2,1.0,CRFFD,3.6524859865854524
5,32,2,1.5,CRFB,82.09136072359422
5,32,2,1.5,CRFF,33.991829017706934
5,32,2,1.5,CIFB,81.96414078694113
5,32,2,1.5,CIFF,32.28551399231743
5,32,2,1.5,CRFBD,81.69715817880638
5,32,2,1.5,CRFFD,33.9435929194653
5,32,2,2.0,CRFB,32.09513234286324
5,32,2,2.0,CRFF,33.87194399713108
5,32,2,2.0,CIFB,30.090156031656264
5,32,2,2.0,CIFF,32.75460833557784
5,32,2,2.0,CRFBD,32.04435541125723
5,32,2,2.0,CRFFD,33.99163723694069
5,32,3,1.0,CRFF,31.572863245310373
5,32,3,1.0,CIFF,30.485949586629204
5,32,3,1.0,CRFFD,3.6524859865854524
5,32,3,1.5,CRFB,82.09136072359422
5,32,3,1.5,CRFF,33.991829017706934
5,32,3,1.5,CIFB,81.96414078694113
